observation_date,latitude,longitude,methane_column_ppb,quality_flag,country_code
2023-06-01,38.713837,-77.148285,1934.3663,1.0,USA
2023-06-01,39.2446,-75.83786,1916.1982,1.0,USA
2023-06-01,39.346443,-75.57376,1925.4861,1.0,USA
2023-06-01,39.39552,-75.44482,1926.869,1.0,USA
2023-06-01,39.44343,-75.31783,1915.7042,1.0,USA
2023-06-01,39.580616,-74.94791,1920.7816,1.0,USA
2023-06-01,39.62429,-74.82803,1920.2441,1.0,USA
2023-06-01,39.667004,-74.70978,1921.9202,1.0,USA
2023-06-01,39.70879,-74.59308,1923.1108,1.0,USA
2023-06-01,39.789703,-74.3641,1921.1257,1.0,USA
2023-06-01,39.828896,-74.25171,1916.659,1.0,USA
2023-06-01,39.867283,-74.14066,1917.9542,1.0,USA
2023-06-01,37.575302,-79.8102,1919.0496,1.0,USA
2023-06-01,38.154713,-78.56124,1919.8267,1.0,USA
2023-06-01,38.239525,-78.372444,1930.683,1.0,USA
2023-06-01,38.321484,-78.18837,1938.5017,1.0,USA
2023-06-01,38.551758,-77.66211,1934.5833,1.0,USA
2023-06-01,38.62376,-77.49462,1924.7318,1.0,USA
2023-06-01,38.693584,-77.33077,1917.3326,1.0,USA
2023-06-01,38.761337,-77.170395,1927.3734,1.0,USA
2023-06-01,38.827118,-77.01332,1927.9799,1.0,USA
2023-06-01,38.891018,-76.8594,1926.0305,1.0,USA
2023-06-01,39.29236,-75.85925,1919.1926,1.0,USA
2023-06-01,39.394253,-75.595,1922.7195,1.0,USA
2023-06-01,39.443356,-75.46598,1918.6646,1.0,USA
2023-06-01,39.62854,-74.96878,1921.9525,1.0,USA
2023-06-01,39.672237,-74.84884,1919.1309,1.0,USA
2023-06-01,39.71497,-74.730515,1920.8124,1.0,USA
2023-06-01,39.797684,-74.49846,1916.625,1.0,USA
2023-06-01,39.83773,-74.38462,1924.7634,1.0,USA
2023-06-01,39.87694,-74.27217,1918.8055,1.0,USA
2023-06-01,38.022926,-78.97715,1937.707,1.0,USA
2023-06-01,38.28674,-78.395195,1931.8014,1.0,USA
2023-06-01,38.36874,-78.21103,1931.8934,1.0,USA
2023-06-01,38.599133,-77.6845,1927.4736,1.0,USA
2023-06-01,38.671173,-77.51693,1923.6053,1.0,USA
2023-06-01,38.80882,-77.19253,1932.4177,1.0,USA
2023-06-01,38.874634,-77.03537,1926.9326,1.0,USA
2023-06-01,38.938564,-76.88137,1932.0376,1.0,USA
2023-06-01,39.000706,-76.73038,1914.9849,1.0,USA
2023-06-01,39.44205,-75.616264,1926.9696,1.0,USA
2023-06-01,39.631733,-75.11137,1920.9918,1.0,USA
2023-06-01,39.676453,-74.98968,1917.2747,1.0,USA
2023-06-01,39.720173,-74.86967,1915.3,1.0,USA
2023-06-01,39.804752,-74.63443,1915.995,1.0,USA
2023-06-01,39.84568,-74.51908,1919.0399,1.0,USA
2023-06-01,39.885746,-74.40517,1921.0018,1.0,USA
2023-06-01,39.924976,-74.29265,1918.3788,1.0,USA
2023-06-01,37.975487,-79.20517,1932.4452,1.0,USA
2023-06-01,38.07003,-79.00028,1927.2618,1.0,USA
2023-06-01,38.333984,-78.41804,1929.7706,1.0,USA
2023-06-01,38.416027,-78.23379,1930.6982,1.0,USA
2023-06-01,38.646534,-77.706985,1924.1366,1.0,USA
2023-06-01,38.856327,-77.21475,1923.8417,1.0,USA
2023-06-01,38.922176,-77.05751,1926.6976,1.0,USA
2023-06-01,38.98614,-76.90343,1921.1261,1.0,USA
2023-06-01,39.108772,-76.60416,1918.403,1.0,USA
2023-06-01,39.28061,-76.175606,1915.9342,1.0,USA
2023-06-01,39.334934,-76.03773,1915.3617,1.0,USA
2023-06-01,39.48988,-75.63761,1925.9014,1.0,USA
2023-06-01,39.679657,-75.132416,1915.2406,1.0,USA
2023-06-01,39.724396,-75.01066,1917.8934,1.0,USA
2023-06-01,39.76814,-74.89057,1917.8286,1.0,USA
2023-06-01,39.85276,-74.65519,1919.6941,1.0,USA
2023-06-01,39.893707,-74.53977,1919.923,1.0,USA
2023-06-01,39.933792,-74.42579,1917.4382,1.0,USA
2023-06-01,38.022526,-79.2285,1938.9854,1.0,USA
2023-06-01,38.11712,-79.02351,1917.7057,1.0,USA
2023-06-01,38.463295,-78.25663,1931.8237,1.0,USA
2023-06-01,38.693924,-77.72955,1925.3676,1.0,USA
2023-06-01,38.766037,-77.5618,1920.0802,1.0,USA
2023-06-01,38.835968,-77.39769,1929.3999,1.0,USA
2023-06-01,38.903824,-77.23706,1923.8596,1.0,USA
2023-06-01,38.969704,-77.07973,1925.1691,1.0,USA
2023-06-01,39.033703,-76.92556,1920.9957,1.0,USA
2023-06-01,39.095905,-76.7744,1926.3015,1.0,USA
2023-06-01,39.435646,-75.92374,1917.8329,1.0,USA
2023-06-01,39.58687,-75.52978,1915.3665,1.0,USA
2023-06-01,39.727562,-75.15353,1917.3416,1.0,USA
2023-06-01,39.772327,-75.03169,1916.732,1.0,USA
2023-06-01,39.816086,-74.91154,1916.2507,1.0,USA
2023-06-01,39.94172,-74.560524,1915.4984,1.0,USA
2023-06-01,39.981823,-74.44647,1922.998,1.0,USA
2023-06-01,41.253178,-70.040535,1919.7372,1.0,USA
2023-06-01,38.16423,-79.046715,1924.7708,1.0,USA
2023-06-01,38.74133,-77.752106,1934.4344,1.0,USA
2023-06-01,38.81348,-77.58426,1926.6947,1.0,USA
2023-06-01,38.883446,-77.42007,1917.931,1.0,USA
2023-06-01,38.951336,-77.259346,1921.3752,1.0,USA
2023-06-01,39.01725,-77.10193,1931.9844,1.0,USA
2023-06-01,39.08128,-76.94768,1926.6715,1.0,USA
2023-06-01,39.143517,-76.79643,1929.2313,1.0,USA
2023-06-01,39.63472,-75.55111,1918.3411,1.0,USA
2023-06-01,39.775482,-75.17464,1915.9026,1.0,USA
2023-06-01,39.82027,-75.05273,1921.1633,1.0,USA
2023-06-01,39.948757,-74.69683,1915.6022,1.0,USA
2023-06-01,40.069157,-74.35442,1915.6385,1.0,USA
2023-06-01,40.182285,-74.02407,1928.842,1.0,USA
2023-06-01,38.211308,-79.06993,1922.1848,1.0,USA
2023-06-01,38.30258,-78.87036,1927.2328,1.0,USA
2023-06-01,38.39064,-78.67609,1920.4409,1.0,USA
2023-06-01,38.788704,-77.774666,1933.239,1.0,USA
2023-06-01,38.930893,-77.44245,1922.6251,1.0,USA
2023-06-01,38.998817,-77.28165,1923.1722,1.0,USA
2023-06-01,39.064762,-77.124146,1924.453,1.0,USA
2023-06-01,39.128826,-76.96981,1925.1477,1.0,USA
2023-06-01,39.19109,-76.81849,1918.2367,1.0,USA
2023-06-01,39.31055,-76.52435,1929.5585,1.0,USA
2023-06-01,39.367893,-76.3813,1918.8448,1.0,USA
2023-06-01,39.423737,-76.240776,1926.5463,1.0,USA
2023-06-01,39.47814,-76.10266,1921.1223,1.0,USA
2023-06-01,39.63332,-75.70184,1916.482,1.0,USA
2023-06-01,39.730595,-75.44502,1917.1785,1.0,USA
2023-06-01,39.86818,-75.07378,1926.688,1.0,USA
2023-06-01,39.911983,-74.953476,1916.7094,1.0,USA
2023-06-01,40.077885,-74.48785,1928.1753,1.0,USA
2023-06-01,40.11719,-74.375046,1925.3126,1.0,USA
2023-06-01,40.15569,-74.26359,1915.8114,1.0,USA
2023-06-01,40.230373,-74.04449,1926.4379,1.0,USA
2023-06-01,40.266613,-73.93676,1914.9304,1.0,USA
2023-06-01,38.258366,-79.09316,1920.3531,1.0,USA
2023-06-01,38.349686,-78.89349,1929.0315,1.0,USA
2023-06-01,38.83606,-77.79725,1929.9011,1.0,USA
2023-06-01,38.908283,-77.62923,1923.621,1.0,USA
2023-06-01,38.97832,-77.46486,1924.1505,1.0,USA
2023-06-01,39.04628,-77.30396,1920.0652,1.0,USA
2023-06-01,39.112263,-77.146385,1928.9038,1.0,USA
2023-06-01,39.176357,-76.99196,1920.6383,1.0,USA
2023-06-01,39.23865,-76.84055,1920.256,1.0,USA
2023-06-01,39.358173,-76.54626,1920.4242,1.0,USA
2023-06-01,39.471413,-76.26251,1919.8273,1.0,USA
2023-06-01,39.578903,-75.98845,1929.0908,1.0,USA
2023-06-01,39.681103,-75.72328,1923.8142,1.0,USA
2023-06-01,40.125885,-74.50855,1917.5448,1.0,USA
2023-06-01,40.16521,-74.39568,1921.3295,1.0,USA
2023-06-01,40.27845,-74.06492,1929.0261,1.0,USA
2023-06-01,37.792484,-80.207016,1915.1166,1.0,USA
2023-06-01,38.30543,-79.11641,1927.3462,1.0,USA
2023-06-01,38.3968,-78.91664,1922.0969,1.0,USA
2023-06-01,38.883427,-77.81985,1925.5111,1.0,USA
2023-06-01,38.95569,-77.65174,1918.7921,1.0,USA
2023-06-01,39.093754,-77.3263,1916.2799,1.0,USA
2023-06-01,39.15977,-77.16863,1926.6826,1.0,USA
2023-06-01,39.223896,-77.01413,1919.2352,1.0,USA
2023-06-01,39.286224,-76.86264,1924.5142,1.0,USA
2023-06-01,39.405807,-76.568184,1918.508,1.0,USA
2023-06-01,39.728897,-75.74474,1915.3931,1.0,USA
2023-06-01,40.09267,-74.759384,1915.8867,1.0,USA
2023-06-01,40.1739,-74.52929,1922.8273,1.0,USA
2023-06-01,40.213245,-74.41635,1915.063,1.0,USA
2023-06-01,40.32654,-74.08538,1929.7482,1.0,USA
2023-06-01,40.887634,-72.290985,1923.2562,1.0,USA
2023-06-01,37.839302,-80.230804,1921.4208,1.0,USA
2023-06-01,38.443935,-78.93983,1926.8494,1.0,USA
2023-06-01,38.930813,-77.842476,1924.9553,1.0,USA
2023-06-01,39.00311,-77.674286,1919.3668,1.0,USA
2023-06-01,39.07322,-77.50974,1916.9326,1.0,USA
2023-06-01,39.141247,-77.34868,1921.0883,1.0,USA
2023-06-01,39.207294,-77.190926,1914.9531,1.0,USA
2023-06-01,39.271454,-77.03633,1918.4598,1.0,USA
2023-06-01,39.333813,-76.884766,1919.8293,1.0,USA
2023-06-01,39.566807,-76.30608,1916.1815,1.0,USA
2023-06-01,40.22193,-74.55005,1918.8427,1.0,USA
2023-06-01,40.261295,-74.43704,1916.4647,1.0,USA
2023-06-01,40.374645,-74.10587,1932.5653,1.0,USA
2023-06-01,40.854137,-72.591354,1931.9116,1.0,USA
2023-06-01,40.936012,-72.31031,1925.8889,1.0,USA
2023-06-01,38.49107,-78.96305,1931.9935,1.0,USA
2023-06-01,38.978195,-77.86515,1921.812,1.0,USA
2023-06-01,39.050526,-77.69687,1918.1738,1.0,USA
2023-06-01,39.188736,-77.371086,1921.7804,1.0,USA
2023-06-01,39.254814,-77.21325,1921.9044,1.0,USA
2023-06-01,39.319008,-77.05858,1921.0072,1.0,USA
2023-06-01,39.381397,-76.90692,1915.7749,1.0,USA
2023-06-01,39.61451,-76.32792,1916.753,1.0,USA
2023-06-01,39.82451,-75.78776,1917.3513,1.0,USA
2023-06-01,40.229733,-74.68532,1915.4718,1.0,USA
2023-06-01,40.269955,-74.57085,1917.6465,1.0,USA
2023-06-01,40.309338,-74.45777,1921.5367,1.0,USA
2023-06-01,40.34791,-74.34603,1919.1487,1.0,USA
2023-06-01,40.422745,-74.12639,1934.761,1.0,USA
2023-06-01,40.563828,-73.70117,1920.4473,1.0,USA
2023-06-01,40.597443,-73.59756,1931.756,1.0,USA
2023-06-01,40.69465,-73.29257,1923.9913,1.0,USA
2023-06-01,40.756603,-73.09379,1925.9156,1.0,USA
2023-06-01,40.902466,-72.610886,1924.4723,1.0,USA
2023-06-01,40.98438,-72.32966,1919.194,1.0,USA
2023-06-01,41.44708,-70.5681,1916.3247,1.0,USA
2023-06-01,41.690315,-69.48039,1916.7396,1.0,USA
2023-06-01,39.097878,-77.71962,1920.5847,1.0,USA
2023-06-01,39.16806,-77.5549,1915.9006,1.0,USA
2023-06-01,39.236156,-77.39366,1915.8992,1.0,USA
2023-06-01,39.302273,-77.23573,1918.19,1.0,USA
2023-06-01,39.662155,-76.3499,1915.503,1.0,USA
2023-06-01,40.395927,-74.366806,1917.034,1.0,USA
2023-06-01,40.470795,-74.14702,1932.7079,1.0,USA
2023-06-01,40.61195,-73.72153,1918.7952,1.0,USA
2023-06-01,40.645584,-73.61785,1937.2935,1.0,USA
2023-06-01,40.742836,-73.31266,1923.5402,1.0,USA
2023-06-01,40.80482,-73.11375,1924.102,1.0,USA
2023-06-01,40.92254,-72.72568,1915.4854,1.0,USA
2023-06-01,40.950752,-72.63052,1936.1747,1.0,USA
2023-06-01,41.032707,-72.349106,1923.5094,1.0,USA
2023-06-01,38.090782,-80.070465,1926.1958,1.0,USA
2023-06-01,38.398666,-79.415695,1923.7554,1.0,USA
2023-06-01,39.145264,-77.742256,1917.044,1.0,USA
2023-06-01,39.283615,-77.41612,1925.2424,1.0,USA
2023-06-01,39.349762,-77.25811,1924.251,1.0,USA
2023-06-01,39.41402,-77.103264,1916.9603,1.0,USA
2023-06-01,39.709824,-76.37178,1920.6964,1.0,USA
2023-06-01,40.155598,-75.200676,1915.8068,1.0,USA
2023-06-01,40.32566,-74.72721,1915.1423,1.0,USA
2023-06-01,40.365925,-74.6126,1915.169,1.0,USA
2023-06-01,40.518864,-74.16759,1937.4984,1.0,USA
2023-06-01,40.55521,-74.05945,1918.8533,1.0,USA
2023-06-01,40.590843,-73.95247,1915.839,1.0,USA
2023-06-01,40.625797,-73.84661,1923.1228,1.0,USA
2023-06-01,40.660088,-73.74182,1915.1613,1.0,USA
2023-06-01,40.693737,-73.63808,1929.6388,1.0,USA
2023-06-01,40.79104,-73.332695,1925.759,1.0,USA
2023-06-01,40.85305,-73.133644,1922.768,1.0,USA
2023-06-01,40.970825,-72.74532,1928.2502,1.0,USA
2023-06-01,40.999054,-72.6501,1939.6124,1.0,USA
2023-06-01,41.026825,-72.55558,1915.6962,1.0,USA
2023-06-01,41.08105,-72.36849,1926.7672,1.0,USA
2023-06-01,41.544186,-70.604485,1916.2482,1.0,USA
2023-06-01,41.77016,-69.59844,1916.3752,1.0,USA
2023-06-01,38.80605,-78.64816,1927.4685,1.0,USA
2023-06-01,39.120213,-77.93345,1928.6257,1.0,USA
2023-06-01,39.192657,-77.7649,1922.0818,1.0,USA
2023-06-01,39.331078,-77.43859,1921.3578,1.0,USA
2023-06-01,39.46155,-77.12557,1925.4708,1.0,USA
2023-06-01,39.524036,-76.97366,1926.3959,1.0,USA
2023-06-01,39.757504,-76.39368,1918.687,1.0,USA
2023-06-01,39.96782,-75.85258,1916.7653,1.0,USA
2023-06-01,40.2035,-75.22189,1921.0548,1.0,USA
2023-06-01,40.413925,-74.63346,1920.9281,1.0,USA
2023-06-01,40.45337,-74.52017,1925.2522,1.0,USA
2023-06-01,40.492,-74.408226,1923.9171,1.0,USA
2023-06-01,40.52985,-74.29757,1915.2709,1.0,USA
2023-06-01,40.56694,-74.18816,1938.7789,1.0,USA
2023-06-01,40.603302,-74.079956,1926.3696,1.0,USA
2023-06-01,40.638958,-73.972916,1916.008,1.0,USA
2023-06-01,40.673927,-73.86698,1929.8298,1.0,USA
2023-06-01,40.708233,-73.76213,1922.574,1.0,USA
2023-06-01,40.741898,-73.65832,1934.5267,1.0,USA
2023-06-01,40.83925,-73.35274,1928.3176,1.0,USA
2023-06-01,40.870544,-73.252716,1920.3,1.0,USA
2023-06-01,40.90129,-73.153564,1925.9703,1.0,USA
2023-06-01,40.96121,-72.95772,1920.0706,1.0,USA
2023-06-01,40.990406,-72.86098,1916.8159,1.0,USA
2023-06-01,41.07515,-72.57511,1915.8428,1.0,USA
2023-06-01,41.1294,-72.3879,1930.6389,1.0,USA
2023-06-01,41.61284,-70.537926,1916.1677,1.0,USA
2023-06-01,41.818836,-69.6159,1915.4248,1.0,USA
2023-06-01,38.85324,-78.671326,1933.0344,1.0,USA
2023-06-01,39.16757,-77.956245,1926.3323,1.0,USA
2023-06-01,39.37854,-77.46113,1916.281,1.0,USA
2023-06-01,39.444756,-77.30295,1920.0083,1.0,USA
2023-06-01,39.50908,-77.147934,1921.5046,1.0,USA
2023-06-01,39.571598,-76.99594,1917.6434,1.0,USA
2023-06-01,39.69154,-76.7005,1915.1338,1.0,USA
2023-06-01,39.80518,-76.415634,1918.525,1.0,USA
2023-06-01,40.015602,-75.874214,1918.9796,1.0,USA
2023-06-01,40.251396,-75.24316,1918.5315,1.0,USA
2023-06-01,40.46193,-74.654366,1920.7595,1.0,USA
2023-06-01,40.501392,-74.54101,1922.3015,1.0,USA
2023-06-01,40.540043,-74.42899,1916.734,1.0,USA
2023-06-01,40.57791,-74.31827,1924.5112,1.0,USA
2023-06-01,40.61502,-74.20879,1937.6355,1.0,USA
2023-06-01,40.651398,-74.10052,1925.6119,1.0,USA
2023-06-01,40.68707,-73.99341,1920.7422,1.0,USA
2023-06-01,40.722057,-73.887405,1926.5833,1.0,USA
